# timestamps [seconds],pts
448966.703169,593588
448966.711239,594117
448966.719308,594646
448966.727377,595175
448966.735446,595704
448966.743515,596232
448966.751584,596761
448966.759653,597290
448966.767723,597819
448966.775792,598348
448966.783861,598876
448966.791930,599405
448966.799999,599934
448966.808068,600463
448966.816137,600992
448966.824207,601521
448966.832276,602049
448966.840345,602578
448966.848414,603107
448966.856483,603636
448966.864552,604165
448966.872622,604693
448966.888760,605751
448966.896829,606280
448966.904898,606809
448966.912967,607337
448966.921036,607866
448966.929106,608395
448966.945244,609453
448966.953313,609982
448966.961382,610510
448966.969451,611039
448966.977520,611568
448966.985590,612097
448966.993659,612626
448967.001728,613154
448967.009797,613683
448967.017866,614212
448967.025935,614741
448967.034004,615270
448967.042074,615798
448967.050143,616327
448967.058212,616856
448967.066281,617385
448967.074350,617914
448967.082419,618442
448967.090489,618971
448967.098558,619500
448967.106627,620029
448967.114696,620558
448967.122765,621087
448967.130834,621615
448967.138903,622144
448967.146973,622673
448967.155042,623202
448967.163111,623731
448967.171180,624259
448967.179249,624788
448967.187318,625317
448967.195387,625846
448967.203457,626375
448967.211526,626903
448967.219595,627432
448967.227664,627961
448967.235733,628490
448967.243802,629019
448967.251871,629548
448967.259941,630076
448967.268010,630605
448967.276079,631134
448967.284148,631663
448967.292217,632192
448967.300286,632720
448967.308356,633249
448967.316425,633778
448967.324494,634307
448967.332563,634836
448967.340632,635364
448967.348701,635893
448967.356770,636422
448967.364840,636951
448967.372909,637480
448967.380978,638009
448967.389047,638537
448967.397116,639066
448967.405185,639595
448967.413254,640124
448967.421324,640653
448967.429393,641181
448967.437462,641710
448967.445531,642239
448967.453600,642768
448967.461669,643297
448967.469739,643825
448967.477808,644354
448967.485877,644883
448967.493946,645412
448967.502015,645941
448967.510084,646469
448967.518153,646998
448967.526223,647527
448967.534292,648056
448967.542361,648585
448967.550430,649114
448967.558499,649642
448967.566568,650171
448967.574637,650700
448967.582707,651229
448967.590776,651758
448967.598845,652286
448967.606914,652815
448967.614983,653344
448967.623052,653873
448967.631121,654402
448967.639191,654931
448967.647260,655459
448967.655329,655988
448967.663398,656517
448967.671467,657046
448967.679536,657575
448967.687606,658103
448967.695675,658632
448967.703744,659161
448967.711813,659690
448967.719882,660219
448967.727951,660747
448967.736020,661276
448967.744090,661805
448967.752159,662334
448967.760228,662863
448967.768297,663391
448967.776366,663920
448967.784435,664449
448967.792504,664978
448967.800574,665507
448967.808643,666036
448967.816712,666564
448967.824781,667093
448967.832850,667622
448967.840919,668151
448967.848988,668680
448967.857058,669208
448967.865127,669737
448967.873196,670266
448967.881265,670795
448967.889334,671324
448967.897403,671852
448967.905473,672381
448967.913542,672910
448967.921611,673439
448967.929680,673968
448967.937749,674497
448967.945818,675025
448967.953887,675554
448967.961957,676083
448967.970026,676612
448967.978095,677141
448967.986164,677669
448967.994233,678198
448968.002302,678727
448968.010371,679256
448968.018441,679785
448968.026510,680313
448968.034579,680842
448968.042648,681371
448968.050717,681900
448968.058786,682429
448968.066855,682957
448968.074925,683486
448968.082994,684015
448968.091063,684544
448968.099132,685073
448968.107201,685602
448968.115270,686130
448968.123340,686659
448968.131409,687188
448968.139478,687717
448968.147547,688246
448968.155616,688774
448968.163685,689303
448968.171754,689832
448968.179824,690361
448968.187893,690890
448968.195962,691419
448968.204031,691947
448968.212100,692476
448968.220169,693005
448968.228238,693534
448968.236308,694063
448968.244377,694591
448968.252446,695120
448968.260515,695649
448968.268584,696178
448968.276653,696707
448968.284722,697235
448968.292792,697764
448968.300861,698293
448968.308930,698822
448968.316999,699351
448968.325068,699879
448968.333137,700408
448968.341207,700937
448968.349276,701466
448968.357345,701995
448968.365414,702524
448968.373483,703052
448968.381552,703581
448968.389621,704110
448968.397691,704639
448968.405760,705168
448968.413829,705696
448968.421898,706225
448968.429967,706754
448968.438036,707283
448968.446105,707812
448968.454175,708340
448968.462244,708869
448968.470313,709398
448968.478382,709927
448968.486451,710456
448968.494520,710985
448968.502590,711513
448968.510659,712042
448968.518728,712571
448968.526797,713100
448968.534866,713629
448968.542935,714157
448968.551004,714686
448968.559073,715215
448968.567143,715744
448968.575212,716273
448968.583281,716801
448968.591350,717330
448968.599419,717859
448968.607488,718388
448968.615558,718917
448968.623627,719446
448968.631696,719974
448968.639765,720503
448968.647834,721032
448968.655903,721561
448968.663972,722090
448968.672042,722618
448968.680111,723147
448968.688180,723676
448968.696249,724205
448968.704318,724734
448968.712387,725262
448968.720456,725791
448968.728526,726320
448968.736595,726849
448968.744664,727378
448968.752733,727906
448968.760802,728435
448968.768871,728964
448968.776940,729493
448968.785010,730022
448968.793079,730551
448968.801148,731079
448968.809217,731608
448968.817286,732137
448968.825355,732666
448968.833425,733195
448968.841494,733723
448968.849563,734252
448968.857632,734781
448968.865701,735310
448968.873770,735839
448968.881839,736367
448968.889909,736896
448968.897978,737425
448968.906047,737954
448968.914116,738483
448968.922185,739012
448968.930254,739540
448968.938323,740069
448968.946393,740598
448968.954462,741127
448968.962531,741656
448968.970600,742184
448968.978669,742713
448968.986738,743242
448968.994807,743771
448969.002877,744300
448969.010946,744828
448969.019015,745357
448969.027084,745886
448969.035153,746415
448969.043222,746944
448969.051292,747473
448969.059361,748001
448969.067430,748530
448969.075499,749059
448969.083568,749588
448969.091637,750117
448969.099706,750645
448969.107776,751174
448969.115845,751703
448969.123914,752232
448969.131983,752761
448969.140052,753289
448969.148121,753818
448969.156190,754347
448969.164260,754876
448969.172329,755405
448969.180398,755934
448969.188467,756462
448969.196536,756991
448969.204605,757520
448969.212675,758049
448969.220744,758578
448969.228813,759106
448969.236882,759635
448969.244951,760164
448969.253020,760693
448969.261089,761222
448969.269159,761750
448969.277228,762279
448969.285297,762808
448969.293366,763337
448969.301435,763866
448969.309504,764394
448969.317573,764923
448969.325643,765452
448969.333712,765981
448969.341781,766510
448969.349850,767039
448969.357919,767567
448969.365988,768096
448969.374057,768625
448969.382127,769154
448969.390196,769683
448969.398265,770211
448969.406334,770740
448969.414403,771269
448969.422472,771798
448969.430541,772327
448969.438611,772856
448969.446680,773384
448969.454749,773913
448969.462818,774442
448969.470887,774971
448969.478956,775500
448969.487026,776028
448969.495095,776557
448969.503164,777086
448969.511233,777615
448969.519302,778144
448969.527371,778672
448969.535440,779201
448969.543510,779730
448969.551579,780259
448969.559648,780788
448969.567717,781316
448969.575786,781845
448969.583855,782374
448969.591924,782903
448969.599994,783432
448969.608063,783961
448969.616132,784489
448969.624201,785018
448969.632270,785547
448969.640339,786076
448969.648409,786605
448969.656478,787133
448969.664547,787662
448969.672616,788191
448969.680685,788720
448969.688754,789249
448969.696823,789777
448969.704893,790306
448969.712962,790835
448969.721031,791364
448969.729100,791893
448969.737169,792422
448969.745238,792950
448969.753307,793479
448969.761377,794008
448969.769446,794537
448969.777515,795066
448969.785584,795594
448969.793653,796123
448969.801722,796652
448969.809791,797181
448969.817861,797710
448969.825930,798238
448969.833999,798767
448969.842068,799296
448969.850137,799825
448969.858206,800354
448969.866276,800883
448969.874345,801411
448969.882414,801940
448969.890483,802469
448969.898552,802998
448969.906621,803527
448969.914690,804055
448969.922760,804584
448969.930829,805113
448969.938898,805642
448969.946967,806171
448969.955036,806699
448969.963105,807228
448969.971174,807757
448969.979244,808286
448969.987313,808815
448969.995382,809343
448970.003451,809872
448970.011520,810401
448970.019589,810930
448970.027659,811459
448970.035728,811988
448970.043797,812516
448970.051866,813045
448970.059935,813574
448970.068004,814103
448970.076073,814632
448970.084143,815160
448970.092212,815689
448970.100281,816218
448970.108350,816747
448970.116419,817276
448970.124488,817804
448970.132557,818333
448970.140627,818862
448970.148696,819391
448970.156765,819920
448970.164834,820449
448970.172903,820977
448970.180972,821506
448970.189041,822035
448970.197111,822564
448970.205180,823093
448970.213249,823621
448970.221318,824150
448970.229387,824679
448970.237456,825208
448970.245525,825737
448970.253595,826265
448970.261664,826794
448970.269733,827323
448970.277802,827852
448970.285871,828381
448970.293940,828909
448970.302010,829438
448970.310079,829967
448970.318148,830496
448970.326217,831025
448970.334286,831554
448970.342355,832082
448970.350424,832611
448970.358494,833140
448970.366563,833669
448970.374632,834198
448970.382701,834726
448970.390770,835255
448970.398839,835784
448970.406908,836313
