# timestamps [seconds],pts
448964.513562,450085
448964.521631,450614
448964.529700,451143
448964.537769,451672
448964.545838,452201
448964.553907,452729
448964.561977,453258
448964.570046,453787
448964.578115,454316
448964.586184,454845
448964.594253,455374
448964.602322,455902
448964.610392,456431
448964.618461,456960
448964.626530,457489
448964.634599,458018
448964.642668,458546
448964.650737,459075
448964.658806,459604
448964.666876,460133
448964.674945,460662
448964.683014,461190
448964.691083,461719
448964.699152,462248
448964.707222,462777
448964.715291,463306
448964.723360,463835
448964.731429,464363
448964.739498,464892
448964.755636,465950
448964.763706,466479
448964.771775,467007
448964.779844,467536
448964.787913,468065
448964.795982,468594
448964.804051,469123
448964.812121,469651
448964.820190,470180
448964.828259,470709
448964.836328,471238
448964.844397,471767
448964.852466,472295
448964.860536,472824
448964.868605,473353
448964.876674,473882
448964.884743,474411
448964.892812,474940
448964.900881,475468
448964.908951,475997
448964.917020,476526
448964.925089,477055
448964.933158,477584
448964.941227,478112
448964.949296,478641
448964.957366,479170
448964.965435,479699
448964.973504,480228
448964.981573,480757
448964.989642,481285
448964.997711,481814
448965.005781,482343
448965.013850,482872
448965.021919,483401
448965.029988,483929
448965.038057,484458
448965.046126,484987
448965.054196,485516
448965.062265,486045
448965.070334,486573
448965.078403,487102
448965.086472,487631
448965.094541,488160
448965.102610,488689
448965.110680,489218
448965.118749,489746
448965.126818,490275
448965.134887,490804
448965.142956,491333
448965.151026,491862
448965.159095,492390
448965.167164,492919
448965.175233,493448
448965.183302,493977
448965.191371,494506
448965.199440,495034
448965.207510,495563
448965.215579,496092
448965.223648,496621
448965.231717,497150
448965.239786,497679
448965.247855,498207
448965.255925,498736
448965.263994,499265
448965.272063,499794
448965.280132,500323
448965.288201,500851
448965.296270,501380
448965.304340,501909
448965.312409,502438
448965.320478,502967
448965.328547,503495
448965.336616,504024
448965.344685,504553
448965.352755,505082
448965.360824,505611
448965.368893,506140
448965.376962,506668
448965.385031,507197
448965.393100,507726
448965.401170,508255
448965.409239,508784
448965.417308,509312
448965.425377,509841
448965.433446,510370
448965.441515,510899
448965.449584,511428
448965.457654,511956
448965.465723,512485
448965.473792,513014
448965.481861,513543
448965.489930,514072
448965.497999,514601
448965.506069,515129
448965.514138,515658
448965.522207,516187
448965.530276,516716
448965.538345,517245
448965.546414,517773
448965.554484,518302
448965.562553,518831
448965.570622,519360
448965.578691,519889
448965.586760,520417
448965.594829,520946
448965.602899,521475
448965.610968,522004
448965.619037,522533
448965.627106,523062
448965.635175,523590
448965.643244,524119
448965.651314,524648
448965.659383,525177
448965.667452,525706
448965.675521,526234
448965.683590,526763
448965.691659,527292
448965.699729,527821
448965.707798,528350
448965.715867,528878
448965.723936,529407
448965.732005,529936
448965.740074,530465
448965.748144,530994
448965.756213,531523
448965.764282,532051
448965.772351,532580
448965.780420,533109
448965.788489,533638
448965.796559,534167
448965.804628,534695
448965.812697,535224
448965.820766,535753
448965.828835,536282
448965.836904,536811
448965.844974,537340
448965.853043,537868
448965.861112,538397
448965.869181,538926
448965.877250,539455
448965.885319,539984
448965.893388,540512
